event,series,window,CAR,t,sig
hormuz_closure,r_DCOILBRENTEU,"(0,50)",0.45956503842799745,3.7956532662025158,***
hormuz_closure,r_DCOILWTICO,"(0,5)",0.3551845174270359,9.450193913729262,***
hormuz_closure,r_DCOILWTICO,"(0,20)",0.4787374069852755,6.8084779390983545,***
hormuz_closure,r_DCOILWTICO,"(0,50)",0.49385389125510715,4.506877053947815,***
hormuz_closure,r_Gold,"(0,5)",-0.03637080489659274,-1.3067063529697625,
hormuz_closure,r_Gold,"(0,20)",-0.19911772360579155,-3.823851224784052,***
hormuz_closure,r_Gold,"(0,50)",-0.2163613575667993,-2.666215969034536,***
hormuz_closure,d_DGS10,"(0,5)",0.1594999999999997,1.6650368253575765,*
hormuz_closure,d_DGS10,"(0,20)",0.4132499999999991,2.3059081051976555,**
hormuz_closure,d_DGS10,"(0,50)",0.5307499999999994,1.9003941977064425,*
hormuz_closure,d_VIXCLS,"(0,5)",5.768500000000001,1.734483195531095,*
hormuz_closure,d_VIXCLS,"(0,20)",11.199750000000002,1.8000373055741095,*
hormuz_closure,d_VIXCLS,"(0,50)",-0.3877499999999967,-0.03998982864643282,
hormuz_closure,USD_EW,"(0,5)",0.012211187550709674,2.0225667060479036,**
hormuz_closure,USD_EW,"(0,20)",0.03002375088640591,2.6581279262408666,***
hormuz_closure,USD_EW,"(0,50)",0.0009008008372313068,0.05117575642378639,
hormuz_closure,SAFE,"(0,5)",-0.00854851870883616,-1.1344454188405861,
hormuz_closure,SAFE,"(0,20)",-0.029990773049360462,-2.127386394253731,**
hormuz_closure,SAFE,"(0,50)",0.004213102553005038,0.19177204829395747,
hormuz_closure,RISKY,"(0,5)",-0.017067536098625782,-2.5597383301962053,**
hormuz_closure,RISKY,"(0,20)",-0.03802119328207625,-3.048010525610309,***
hormuz_closure,RISKY,"(0,50)",-0.002670660634900227,-0.13738331257369588,
hormuz_closure,CARRY_HML,"(0,5)",-0.008519017389789722,-1.7949689599568894,*
hormuz_closure,CARRY_HML,"(0,20)",-0.00803042023271587,-0.9044231879335367,
hormuz_closure,CARRY_HML,"(0,50)",-0.006883763187905268,-0.497489474486335,
hormuz_closure,OIL_EXP,"(0,5)",-0.005303789592613724,-0.8241344277345201,
hormuz_closure,OIL_EXP,"(0,20)",-0.01555442609816867,-1.2919084528997198,
hormuz_closure,OIL_EXP,"(0,50)",0.008475716938775314,0.45172981063360046,
hormuz_closure,OIL_IMP,"(0,5)",-0.009383599391583636,-1.715952277766925,*
hormuz_closure,OIL_IMP,"(0,20)",-0.023250497829431428,-2.272657451451269,**
hormuz_closure,OIL_IMP,"(0,50)",-0.0003102277774124965,-0.01945839278077432,
hormuz_ceasefire,r_DTWEXBGS,"(0,5)",-0.016251097040084688,-2.9835811357199535,***
hormuz_ceasefire,r_DTWEXBGS,"(0,20)",-0.011273713472353468,-1.1063387896488281,
hormuz_ceasefire,r_DTWEXBGS,"(0,50)",0.001695037629487292,0.10673947195503149,
hormuz_ceasefire,r_SP500,"(0,5)",0.04804709718959344,2.8267821665043305,***
hormuz_ceasefire,r_SP500,"(0,20)",0.07825099629155575,2.4608267655566656,**
hormuz_ceasefire,r_SP500,"(0,50)",0.09643576797160945,1.9460494370565582,*
hormuz_ceasefire,r_DCOILBRENTEU,"(0,5)",-0.0727154261766791,-1.7087811928179377,*
hormuz_ceasefire,r_DCOILBRENTEU,"(0,20)",-0.10919767406786436,-1.3716372388988955,
hormuz_ceasefire,r_DCOILBRENTEU,"(0,50)",-0.27155062432418786,-2.1887756289723637,**
hormuz_ceasefire,r_DCOILWTICO,"(0,5)",-0.19929093002152196,-5.141937918520098,***
hormuz_ceasefire,r_DCOILWTICO,"(0,20)",-0.063308097416753,-0.8731010988086937,
hormuz_ceasefire,r_DCOILWTICO,"(0,50)",-0.1532625872331883,-1.3563319267958212,
hormuz_ceasefire,r_Gold,"(0,5)",0.019716813655896646,0.6514237290233132,
hormuz_ceasefire,r_Gold,"(0,20)",-0.09186261480596204,-1.622301700258888,
hormuz_ceasefire,r_Gold,"(0,50)",-0.24331422959007767,-2.7573055040814887,***
hormuz_ceasefire,d_DGS10,"(0,5)",-0.07749999999999992,-0.9241551457321019,
hormuz_ceasefire,d_DGS10,"(0,20)",0.09874999999999995,0.6294283001768199,
hormuz_ceasefire,d_DGS10,"(0,50)",0.1612500000000005,0.6595283126752919,
hormuz_ceasefire,d_VIXCLS,"(0,5)",-5.8050000000000015,-1.7668518978104308,*
hormuz_ceasefire,d_VIXCLS,"(0,20)",-6.772500000000002,-1.1018257424629927,
hormuz_ceasefire,d_VIXCLS,"(0,50)",-7.927500000000001,-0.8276080590873479,
hormuz_ceasefire,USD_EW,"(0,5)",-0.01890817357341295,-3.5942888958626766,***
hormuz_ceasefire,USD_EW,"(0,20)",-0.010640068450914999,-1.081119748478944,
