event,series,method,window,CAR,t,sig
ukraine,NZD,market_model,"(0,5)",0.02156270186126142,2.582704364883902,***
ukraine,NZD,market_model,"(0,10)",0.03835586997222212,3.392990461068264,***
ukraine,NZD,market_model,"(0,20)",0.0434393939213267,2.7811297670107917,***
ukraine,PEN,const_mean,"(-1,1)",-0.02309432736577275,-3.3078456079032845,***
ukraine,PEN,const_mean,"(0,1)",-0.018925058275293533,-3.3198829211492096,***
ukraine,PEN,const_mean,"(0,5)",-0.003072775345704098,-0.31121156315008874,
ukraine,PEN,const_mean,"(0,10)",-0.0006262887774067796,-0.04684668101466685,
ukraine,PEN,const_mean,"(0,20)",-0.013734884932327548,-0.7435598283672369,
ukraine,PEN,market_model,"(-1,1)",-0.021112152585062247,-3.142263012121055,***
ukraine,PEN,market_model,"(0,1)",-0.017019584743925464,-3.1024486817587285,***
ukraine,PEN,market_model,"(0,5)",0.0011595615081564674,0.12203623763175106,
ukraine,PEN,market_model,"(0,10)",0.005249003170669797,0.4079915206589807,
ukraine,PEN,market_model,"(0,20)",-0.011497480667707895,-0.6467905787786002,
ukraine,PLN,const_mean,"(-1,1)",-0.02357467661726646,-2.660411005835616,***
ukraine,PLN,const_mean,"(0,1)",-0.01353777854155424,-1.871095811731122,*
ukraine,PLN,const_mean,"(0,5)",-0.06944985366587832,-5.54190821708184,***
ukraine,PLN,const_mean,"(0,10)",-0.0712940624363952,-4.201657411338764,***
ukraine,PLN,const_mean,"(0,20)",-0.0657673390010802,-2.8052026599489794,***
ukraine,PLN,market_model,"(-1,1)",-0.017177348072831677,-2.6825452837245454,***
ukraine,PLN,market_model,"(0,1)",-0.007387997840320384,-1.4130688904763378,
ukraine,PLN,market_model,"(0,5)",-0.055790286594219585,-6.160763543850758,***
ukraine,PLN,market_model,"(0,10)",-0.05233197430365975,-4.267979749772285,***
ukraine,PLN,market_model,"(0,20)",-0.05854627539620436,-3.455741092007793,***
ukraine,SAR,const_mean,"(-1,1)",0.00011528257388931064,0.6774238661401232,
ukraine,SAR,const_mean,"(0,1)",0.0001390473008423485,1.0007025838544699,
ukraine,SAR,const_mean,"(0,5)",4.398128874037392e-05,0.18274680038128416,
ukraine,SAR,const_mean,"(0,10)",0.000165040023140352,0.5064661093103939,
ukraine,SAR,const_mean,"(0,20)",0.0003005505274981063,0.6675215691446126,
ukraine,SAR,market_model,"(-1,1)",0.00011404072934825635,0.6701428927844856,
ukraine,SAR,market_model,"(0,1)",0.00013785351009993745,0.9921352684074025,
ukraine,SAR,market_model,"(0,5)",4.132970399163361e-05,0.1717333836361357,
ukraine,SAR,market_model,"(0,10)",0.00016135911704477358,0.49518242622020764,
ukraine,SAR,market_model,"(0,20)",0.0002991487801349633,0.6644245119467724,
ukraine,SEK,const_mean,"(-1,1)",-0.004291212071930405,-0.4278471108558573,
ukraine,SEK,const_mean,"(0,1)",-1.6382302133202686e-05,-0.002000456842743669,
ukraine,SEK,const_mean,"(0,5)",-0.033905066085641505,-2.390331986702774,**
ukraine,SEK,const_mean,"(0,10)",-0.027520399175092816,-1.4329387904676403,
ukraine,SEK,const_mean,"(0,20)",0.00564464284034346,0.21271399944521607,
ukraine,SEK,market_model,"(-1,1)",0.0035635185343835894,0.5370060622585386,
ukraine,SEK,market_model,"(0,1)",0.007534405555733261,1.3905761913591768,
ukraine,SEK,market_model,"(0,5)",-0.01713365614451958,-1.8257243819897948,*
ukraine,SEK,market_model,"(0,10)",-0.0042384787638940465,-0.33356038223619927,
ukraine,SEK,market_model,"(0,20)",0.014510767022241279,0.8264974459424547,
ukraine,SGD,const_mean,"(-1,1)",-0.00636565217355114,-1.7416024932469296,*
ukraine,SGD,const_mean,"(0,1)",-0.00540235296765046,-1.8102340037688662,*
ukraine,SGD,const_mean,"(0,5)",-0.00775564038708338,-1.500406023114703,
ukraine,SGD,const_mean,"(0,10)",-0.010139616726282882,-1.4487450232867134,
