event,series,method,window,CAR,t,sig
hormuz_ceasefire,d_VXY_Global,const_mean,"(0,5)",-0.7664999999999997,-2.3163766714957585,**
hormuz_ceasefire,d_VXY_Global,const_mean,"(0,10)",-1.2035833333333334,-2.686287375515277,***
hormuz_ceasefire,d_VXY_Global,const_mean,"(0,20)",-1.2727499999999996,-2.0559195049230694,**
hormuz_ceasefire,r_Oil_EUR,const_mean,"(-1,1)",-0.06561433040770631,-1.5905782566747915,
hormuz_ceasefire,r_Oil_EUR,const_mean,"(0,1)",-0.0605024206310243,-1.796282836537139,*
hormuz_ceasefire,r_Oil_EUR,const_mean,"(0,5)",-0.11219621629780491,-1.9231783144534706,*
hormuz_ceasefire,r_Oil_EUR,const_mean,"(0,10)",-0.23438351420406692,-2.9672059172132537,***
hormuz_ceasefire,r_Oil_EUR,const_mean,"(0,20)",-0.18408218156917106,-1.6866270942675559,*
hormuz_ceasefire,r_Gold_EUR,const_mean,"(-1,1)",-0.01171269562771561,-0.36179624693694357,
hormuz_ceasefire,r_Gold_EUR,const_mean,"(0,1)",-0.0013613289112480408,-0.05150102791757885,
hormuz_ceasefire,r_Gold_EUR,const_mean,"(0,5)",0.0017650342849807807,0.03855186102790662,
hormuz_ceasefire,r_Gold_EUR,const_mean,"(0,10)",-0.03435237790606337,-0.5541512144107436,
hormuz_ceasefire,r_Gold_EUR,const_mean,"(0,20)",-0.09119075861625264,-1.0646552705888714,
hormuz_ceasefire,USD_EW,const_mean,"(-1,1)",-0.013554520876323474,-2.9656892831715194,***
hormuz_ceasefire,USD_EW,const_mean,"(0,1)",-0.011495375452992215,-3.080422358638127,***
hormuz_ceasefire,USD_EW,const_mean,"(0,5)",-0.01997676480245715,-3.090662876431063,***
hormuz_ceasefire,USD_EW,const_mean,"(0,10)",-0.01803774252410394,-2.061047235724113,**
hormuz_ceasefire,USD_EW,const_mean,"(0,20)",-0.014380137752569697,-1.189201650636901,
hormuz_ceasefire,SAFE,const_mean,"(-1,1)",0.0129372785961194,2.3243812731320634,**
hormuz_ceasefire,SAFE,const_mean,"(0,1)",0.011775176636594501,2.5910601643750533,***
hormuz_ceasefire,SAFE,const_mean,"(0,5)",0.021860205999182904,2.777177829976002,***
hormuz_ceasefire,SAFE,const_mean,"(0,10)",0.020285836267499087,1.9033630667806374,*
hormuz_ceasefire,SAFE,const_mean,"(0,20)",0.02087302172486549,1.4174271344806244,
hormuz_ceasefire,SAFE,market_model,"(-1,1)",-0.0021231042933783834,-0.9318420540324943,
hormuz_ceasefire,SAFE,market_model,"(0,1)",-0.0009972966481679737,-0.536094024742445,
hormuz_ceasefire,SAFE,market_model,"(0,5)",-0.00033591067388771974,-0.10425089306847214,
hormuz_ceasefire,SAFE,market_model,"(0,10)",0.00024416077384893176,0.05596431021049024,
hormuz_ceasefire,SAFE,market_model,"(0,20)",0.004895298680761526,0.8120843714806142,
