day,month,year,daily_tpu_index
14,7,2024,120.689655172413
15,7,2024,78.5340314136125
16,7,2024,165.876777251184
17,7,2024,183.908045977011
18,7,2024,180.18018018018
19,7,2024,215.686274509803
20,7,2024,29.1545189504373
21,7,2024,105.708245243128
22,7,2024,105.263157894736
23,7,2024,96.1538461538461
24,7,2024,86.7678958785249
25,7,2024,130.434782608695
26,7,2024,61.4754098360655
27,7,2024,168.067226890756
28,7,2024,74.074074074074
29,7,2024,53.050397877984
30,7,2024,50.125313283208
31,7,2024,21.0526315789473
1,8,2024,65.78947368421049
2,8,2024,59.6421471172962
3,8,2024,79.7872340425531
4,8,2024,74.074074074074
5,8,2024,100.0
6,8,2024,171.56862745098
7,8,2024,83.50730688935279
8,8,2024,90.2934537246049
9,8,2024,64.3776824034334
10,8,2024,81.9672131147541
11,8,2024,243.445692883895
12,8,2024,104.712041884816
13,8,2024,81.5217391304347
14,8,2024,23.2018561484918
15,8,2024,71.7703349282296
16,8,2024,144.329896907216
17,8,2024,141.643059490084
18,8,2024,133.079847908745
19,8,2024,27.7777777777777
20,8,2024,143.540669856459
21,8,2024,21.6450216450216
22,8,2024,67.7200902934537
23,8,2024,144.329896907216
24,8,2024,156.657963446475
25,8,2024,92.5925925925925
26,8,2024,56.98005698005689
27,8,2024,171.990171990172
28,8,2024,113.636363636363
29,8,2024,65.78947368421049
30,8,2024,82.135523613963
31,8,2024,52.6315789473684
1,9,2024,141.592920353982
2,9,2024,149.253731343283
3,9,2024,117.096018735363
4,9,2024,43.1965442764578
5,9,2024,98.8142292490118
6,9,2024,217.821782178217
7,9,2024,73.7100737100737
8,9,2024,35.9712230215827
9,9,2024,175.0
10,9,2024,241.758241758241
11,9,2024,259.179265658747
12,9,2024,204.545454545454
13,9,2024,59.880239520958
14,9,2024,171.149144254278
15,9,2024,112.540192926045
16,9,2024,184.210526315789
17,9,2024,124.069478908188
18,9,2024,131.578947368421
19,9,2024,87.1459694989106
20,9,2024,0.0
21,9,2024,182.291666666666
22,9,2024,69.4444444444444
23,9,2024,236.842105263157
24,9,2024,208.816705336426
25,9,2024,105.042016806722
26,9,2024,83.6820083682008
27,9,2024,40.16064257028111
28,9,2024,184.210526315789
29,9,2024,128.205128205128
30,9,2024,119.904076738609
1,10,2024,112.866817155756
2,10,2024,133.928571428571
3,10,2024,110.132158590308
4,10,2024,148.619957537154
5,10,2024,151.515151515151
6,10,2024,93.63295880149809
7,10,2024,130.89005235602
