spec,term,estimator,coef,se,t,p
A: VIX,vix_ukraine,HAC(5),0.16481595607254249,0.034082732327040746,4.835761243877149,1.3263704858406504e-06
A: VIX,vix_ukraine,HAC(6),0.16481595607254249,0.035004015592779304,4.708487105877676,2.4956214922802916e-06
A: VIX,vix_ukraine,HAC(7),0.16481595607254249,0.029633503721893568,5.561811307205452,2.6698888859034594e-08
A: VIX,vix_ukraine,HAC(8),0.16481595607254249,0.029827582876388235,5.525622265658415,3.283198374501302e-08
A: VIX,vix_ukraine,HAC(10),0.16481595607254249,0.02812776751928404,5.859546299205821,4.6413347354279306e-09
A: VIX,vix_ukraine,HAC(12),0.16481595607254249,0.025920720052830047,6.358463643626587,2.0378160173018863e-10
A: VIX,vix_ukraine,HAC(15),0.16481595607254249,0.022363846872883838,7.369749802409076,1.7094855939705465e-13
A: VIX,vix_ukraine,HAC(21),0.16481595607254249,0.019756383464913343,8.342415319344756,7.27882895989649e-17
A: VIX,vix_ukraine,HAC(7) auto,0.16481595607254249,0.029633503721893568,5.561811307205452,2.6698888859034594e-08
B: VIX + GPR,vix,classical,0.06981986429357662,0.007303560079643265,9.559702875338967,3.427259912659877e-21
B: VIX + GPR,vix,HC0,0.06981986429357662,0.011714508282578215,5.960119077077485,2.5205419638965477e-09
B: VIX + GPR,vix,HC1,0.06981986429357662,0.01175064566903325,5.941789605449046,2.8192712094939108e-09
B: VIX + GPR,vix,HC2,0.06981986429357662,0.011934840429185667,5.850087791943821,4.913136172698983e-09
B: VIX + GPR,vix,HC3,0.06981986429357662,0.012165491846067132,5.739173161021683,9.513990358498372e-09
B: VIX + GPR,vix,HAC(0),0.06981986429357662,0.011714508282578168,5.9601190770775085,2.520541963896181e-09
B: VIX + GPR,vix,HAC(1),0.06981986429357662,0.01174266774339522,5.9458264356366115,2.7506548709273875e-09
B: VIX + GPR,vix,HAC(2),0.06981986429357662,0.010940209201516938,6.3819496508252875,1.7484745654424809e-10
B: VIX + GPR,vix,HAC(3),0.06981986429357662,0.010156664912775433,6.874290418477288,6.229917477375279e-12
B: VIX + GPR,vix,HAC(4),0.06981986429357662,0.010001178531642561,6.981163677128122,2.9274500464466014e-12
B: VIX + GPR,vix,HAC(5),0.06981986429357662,0.009889785314664152,7.0597957460260234,1.6674752384500692e-12
B: VIX + GPR,vix,HAC(6),0.06981986429357662,0.0098015499948326,7.123349299894998,1.0533541448247666e-12
B: VIX + GPR,vix,HAC(7),0.06981986429357662,0.00963053287379187,7.249844344914858,4.1725086459998787e-13
B: VIX + GPR,vix,HAC(8),0.06981986429357662,0.00959423749669143,7.27727079068597,3.40641074969296e-13
B: VIX + GPR,vix,HAC(10),0.06981986429357662,0.009716106012118444,7.185992434262612,6.672073901205887e-13
B: VIX + GPR,vix,HAC(12),0.06981986429357662,0.00980568198559583,7.120347610307912,1.0765520283371873e-12
B: VIX + GPR,vix,HAC(15),0.06981986429357662,0.010055676451370692,6.943328440530667,3.829676267240428e-12
B: VIX + GPR,vix,HAC(21),0.06981986429357662,0.010413820617063863,6.7045387913799175,2.0204347874374124e-11
B: VIX + GPR,vix,HAC(7) auto,0.06981986429357662,0.00963053287379187,7.249844344914858,4.1725086459998787e-13
B: VIX + GPR,vix_tariff,classical,-0.06738755276329018,0.022584278227597374,-2.9838258315886503,0.0028821930061482134
B: VIX + GPR,vix_tariff,HC0,-0.06738755276329018,0.043727027385756824,-1.5410961318911949,0.1232933911520868
B: VIX + GPR,vix_tariff,HC1,-0.06738755276329018,0.043861918279087704,-1.5363567168793648,0.12445091618760751
B: VIX + GPR,vix_tariff,HC2,-0.06738755276329018,0.0566331303463555,-1.1898963089478378,0.2340871493952622
